"from","to","line","linecolor"
1,2,"Green","#00FF00"
2,3,"Green","#00FF00"
3,4,"Green","#00FF00"
4,5,"Green","#00FF00"
5,6,"Green","#00FF00"
6,7,"Green","#00FF00"
7,8,"Green","#00FF00"
8,9,"Green","#00FF00"
9,10,"Green","#00FF00"
10,11,"Green","#00FF00"
11,12,"Green","#00FF00"
12,13,"Green","#00FF00"
13,14,"Green","#00FF00"
14,2,"Green","#00FF00"
15,16,"Purple","#A020F0"
16,17,"Purple","#A020F0"
17,18,"Purple","#A020F0"
18,3,"Purple","#A020F0"
8,19,"Purple","#A020F0"
19,20,"Purple","#A020F0"
20,21,"Purple","#A020F0"
21,22,"Purple","#A020F0"
22,23,"Purple","#A020F0"
8,23,"Light Blue","#ADD8E6"
23,24,"Light Blue","#ADD8E6"
24,25,"Light Blue","#ADD8E6"
25,26,"Light Blue","#ADD8E6"
26,27,"Light Blue","#ADD8E6"
27,28,"Light Blue","#ADD8E6"
28,29,"Light Blue","#ADD8E6"
14,30,"Blue","#0000FF"
30,31,"Blue","#0000FF"
31,1,"Blue","#0000FF"
31,32,"Blue","#0000FF"
20,33,"Orange","#FFA500"
33,34,"Orange","#FFA500"
34,35,"Orange","#FFA500"